,ts_code,name
15,600719.SH,大连热电
16,603223.SH,恒通股份
17,603308.SH,应流股份
18,688008.SH,澜起科技
19,688299.SH,长阳科技
,ts_code,name
0,000023.SZ,深天地A
1,000026.SZ,飞亚达A
2,000100.SZ,TCL集团
3,000502.SZ,绿景控股
4,000509.SZ,华塑控股
5,000536.SZ,华映科技
6,000555.SZ,神州信息
7,000650.SZ,仁和药业
8,000662.SZ,天夏智慧
9,000679.SZ,大连友谊
10,000691.SZ,亚太实业
11,000698.SZ,沈阳化工
12,000705.SZ,浙江震元
13,000715.SZ,中兴商业
14,000793.SZ,华闻集团
15,000823.SZ,超声电子
16,000918.SZ,嘉凯城
17,000919.SZ,金陵药业
18,000988.SZ,华工科技
19,002001.SZ,新和成
20,002046.SZ,轴研科技
21,002047.SZ,宝鹰股份
22,002080.SZ,中材科技
23,002139.SZ,拓邦股份
24,002188.SZ,*ST巴士
25,002205.SZ,国统股份
26,002231.SZ,奥维通信
27,002280.SZ,联络互动
28,002294.SZ,信立泰
29,002295.SZ,精艺股份
30,002313.SZ,日海智能
31,002359.SZ,*ST北讯
32,002368.SZ,太极股份
33,002426.SZ,胜利精密
34,002432.SZ,九安医疗
35,002454.SZ,松芝股份
36,002473.SZ,圣莱达
37,002484.SZ,江海股份
38,002486.SZ,嘉麟杰
39,002499.SZ,*ST科林
40,002508.SZ,老板电器
41,002522.SZ,浙江众成
42,002547.SZ,春兴精工
43,002565.SZ,顺灏股份
44,002568.SZ,百润股份
45,002618.SZ,丹邦科技
46,002660.SZ,茂硕电源
47,002693.SZ,双成药业
48,002717.SZ,岭南股份
49,002723.SZ,金莱特
50,002730.SZ,电光科技
51,002792.SZ,通宇通讯
52,002801.SZ,微光股份
53,002812.SZ,恩捷股份
54,002855.SZ,捷荣技术
55,002878.SZ,元隆雅图
56,002881.SZ,美格智能
57,002902.SZ,铭普光磁
58,002917.SZ,金奥博
59,002923.SZ,润都股份
60,002939.SZ,长城证券
61,002953.SZ,日丰股份
62,002958.SZ,青农商行
63,003816.SZ,中国广核
64,300019.SZ,硅宝科技
65,300046.SZ,台基股份
66,300048.SZ,合康新能
67,300049.SZ,福瑞股份
68,300059.SZ,东方财富
69,300067.SZ,安诺其
70,300077.SZ,国民技术
71,300083.SZ,劲胜智能
